ArtistID,Name,EditableID
1,AC/DC,107
2,Accept,108
3,Aerosmith,109
4,Alanis Morissette,110
5,Alice In Chains,111
6,Amy Winehouse,112
7,Antônio Carlos Jobim,113
8,Apocalyptica,114
9,Audioslave,115
10,Black Label Society,116
11,Black Sabbath,117
12,Chico Buarque,118
13,Chico Science & Nação Zumbi,119
14,Cidade Negra,120
15,Cláudio Zoli,121
16,Deep Purple,122
17,Def Leppard,123
18,Ed Motta,124
19,Eric Clapton,125
20,Foo Fighters,126
21,Frank Zappa & Captain Beefheart,127
22,Gilberto Gil,128
23,Green Day,129
24,House Of Pain,130
25,Incognito,131
26,Iron Maiden,132
27,JET,133
28,Jamiroquai,134
29,Jimi Hendrix,135
30,Judas Priest,136
31,Kiss,137
32,Led Zeppelin,138
33,Legião Urbana,139
34,Marillion,140
35,Men At Work,141
36,Metallica,142
37,Miles Davis,143
38,Mötley Crüe,144
39,Nirvana,145
40,Olodum,146
41,Os Mutantes,147
42,Os Paralamas Do Sucesso,148
43,Ozzy Osbourne,149
44,Page & Plant,150
45,Pearl Jam,151
46,Philip Glass Ensemble,152
47,R.E.M.,153
48,Red Hot Chili Peppers,154
49,Rush,155
50,Santana,156
51,Smashing Pumpkins,157
52,Spyro Gyra,158
53,Temple of the Dog,159
54,The 12 Cellists of The Berlin Philharmonic,160
55,The Black Crowes,161
56,The Doors,162
57,The Rolling Stones,163
58,U2,164
59,UB40,165
60,Van Halen,166
